continentName,year,totalAmountApproved
Africa,2016,107833679.0
Africa,2017,120494048.0
Africa,2018,104042871.0
Africa,2019,139446970.0
Africa,2020,179654858.0
Africa,2021,100359553.0
Africa,2022,170049257.0
Africa,2023,126107805.0
Africa,2024,139182492.72
Africa,2025,59144007.06
Africa,2026,9025197.2
Americas,2016,10332825.0
Americas,2017,4924950.0
Americas,2018,4439213.0
Americas,2019,12605816.0
Americas,2020,15263032.0
Americas,2021,3435492.0
Americas,2022,15337699.0
Americas,2023,17410000.0
Americas,2024,13998714.07
Americas,2025,15688047.34
Asia,2016,19756781.0
Asia,2017,51202176.0
Asia,2018,59594695.0
Asia,2019,48271728.0
Asia,2020,82777478.0
Asia,2021,44484519.0
Asia,2022,47160283.0
Asia,2023,71811476.0
Asia,2024,50671664.09
Asia,2025,15866243.92
Europe,2019,557963.0
Europe,2022,15500052.0
Global,2020,43000000.0
Oceania,2016,6817541.0
Oceania,2018,3498461.0
Oceania,2020,1239105.0
Oceania,2021,500000.0
Oceania,2022,250000.0
Oceania,2023,500000.0
